HRIR;HRTF;Configuration;Description;Source;Credits;Points
irc02;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc03;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc04;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc05;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc06;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc07;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc08;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc09;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc12;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc13;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc14;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc15;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc16;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc17;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc18;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc20;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc21;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc22;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc23;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc25;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc26;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc28;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc29;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc30;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc31;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc32;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc33;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc34;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc37;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc38;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc39;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc40;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc41;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc42;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc43;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc44;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc45;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc46;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc47;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc48;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc49;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc50;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc51;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc52;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc53;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc54;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc55;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc56;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc57;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc58;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
irc59;IRCAM,Listen;Headphones;HRTFs from IRCAM which are available free of charge from: recherche.ircam.fr/equipes/salles/listen/index.html;http://recherche.ircam.fr/equipes/salles/listen/download.html;Olivier Warusfel, Room Acoustics Team, IRCAM;187
scut;SCUT,KEMAR;Headphones;"HRTF from SCUT database of the KEMAR used with ffmpeg`s sofalizer
Why there's no X3DAudio HRTF MHR (yet?): https://github.com/ThreeDeeJay/HRIR-Batch-Converters/issues/1#issuecomment-1588543440";;Bosun Xie, China;
EAC_3DJ;EAC,Individualized HRTF Synthesis;Headphones;"HRTF generated with Individualized HRTF Synthesis MATLAB app. For best results, generate your own following the instructions here: ttps://github.com/davircarvalho/Individualized_HRTF_Synthesis/tree/master/Individualized%20HRTF%20App
Synthesis of individualized HRTFs based on Neural Networks, Principal Component Analysis and anthropometry.";https://github.com/davircarvalho/Individualized_HRTF_Synthesis/tree/master/Individualized%20HRTF%20App;Acoustic Engineering at Federal University of Santa Maria, Brazil;
tuc;TUC;Headphones;HRTF from the Technical University of Cologne of the dummy-head Neumann K100 used with ffmpeg`s sofalizer;;Technical University of Cologne;
atmos-;Dolby Atmos,for Headphones;Headphones;Dolby Atmos 7.1 virtual surround sound for headphones without reverb;;Dolby Laboratories, Inc.;
cmss_ent-;CMSS-3D,Headphone;Headphones;CMSS-3D in Entertainment Mode without reverb on X-Fi Titanium ;;Creative Technology Ltd. Recorded by Sossaman;
cmss_game-;CMSS-3D,Headphone;Headphones;CMSS-3D in Game Mode without reverb on X-Fi Titanium ;;Creative Technology Ltd. Recorded by Sossaman;
dh-;Dolby Headphones Surround;Headphones;Dolby Headphone without reverb;;Dolby Laboratories, Inc.;
dht-;Dolby Home Theater Headphone Surround Virtualizer;Headphones;Dolby Home Theater v4 Headphone Surround Virtualizer without reverb;;Dolby Laboratories, Inc.;
ds3d;DirectSound3D HRTF;Headphones;DirectSound3D HRTF with speaker angles of 30°, 90°, 135° and 0°;;Creative Technology Ltd. Recorded by Sossaman;
dtshx-;DTS,Headphone:X;Headphones;DTS Headphone:X without reverb;;"DTS, Inc.
Recorded by StinkyToilet forum.xda-developers.com/ showthread.php?t=52976760";
DTSSoundUnbound-Balanced;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Balanced preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/463f85ddf6/;DTS, Inc.;
DTSSoundUnbound-BalancedEarbuds;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Generic earbuds, Balanced preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/108490f54e/;DTS, Inc.;
DTSSoundUnbound-BalancedOverEar;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Generic over-ear, Balanced preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/108490f54e/;DTS, Inc.;
DTSSoundUnbound-Normal;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Normal preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/463f85ddf6/;DTS, Inc.;
DTSSoundUnbound-Room;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Room preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/463f85ddf6/;DTS, Inc.;
DTSSoundUnbound-Spacious;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Spacious preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/463f85ddf6/;DTS, Inc.;
DTSSoundUnbound-SpaciousEarbuds;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Generic earbuds, Spacious preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/108490f54e/;DTS, Inc.;
DTSSoundUnbound-SpaciousGeneric;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Generic earbuds, Balanced preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/463f85ddf6/;DTS, Inc.;
DTSSoundUnbound-SpaciousOverEar;DTS,Headphone:X;Headphones;DTS Headphone:X via DTS Unbound application, Generic over-ear, Spacious preset;https://sourceforge.net/p/hesuvi/discussion/general/thread/108490f54e/;DTS, Inc.;
gsx-;Sennheiser Binaural Rendering Engine;Headphones;Sennheiser GSX 7.1 Binaural Rendering Engine without reverb;;"Sennheiser
Recorded by Filodream";
hear;IRCAM HEar;Headphones;Flux HEar V3 ;;Flux;
sbx33;SBX Pro Studio;Headphones;SBX Pro Studio (also known as BlasterX Acoustic Engine or THX TruStudio Pro) Surround 33;;Creative Technology Ltd. ;
sbx33-;SBX Pro Studio;Headphones;SBX Pro Studio (also known as BlasterX Acoustic Engine or THX TruStudio Pro) Surround 33 without reverb;;Creative Technology Ltd. ;
waves-;Waves Nx;Headphones;Waves NX without reverb;;Waves Audio Ltd.;
sbc80;SBX Pro Studio;Headphones;SBX Pro Studio Surround Surround at 80 via Sound Blaster Cinema 5 (Realtek onboard on Asrock B450 Fata1ity Gaming K4);https://sourceforge.net/p/hesuvi/discussion/general/thread/06e58a6b42/;Creative Technology Ltd.;
sbc100;SBX Pro Studio;Headphones;SBX Pro Studio Surround Surround at 100 via Sound Blaster Cinema 5 (Realtek onboard on Asrock B450 Fata1ity Gaming K4);https://sourceforge.net/p/hesuvi/discussion/general/thread/06e58a6b42/;Creative Technology Ltd.;
FHK_HRIR_CIRC360;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_CIRC360_NF025;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_CIRC360_NF050;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_CIRC360_NF075;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_CIRC360_NF100;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_CIRC360_NF150;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_CIRC360RM;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_FULL2DEG;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_L2354;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_L2702;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_L2702_NF050;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_L2702_NF075;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_L2702_NF100;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
FHK_HRIR_L2702_NF150;FHK;Headphones;Spherical Far-Field HRIR Compilation of the Neumann KU100;;3D Sound Labs;
cf01;Club Fritz;Headphones;HRTFs of Neumann KU 100 measured as part of the Club Fritz project used with ffmpeg`s sofalizer;dx.doi.org/10.1109/JSTSP.2015.2400417;Brian Katz, France;
cf04;Club Fritz;Headphones;HRTFs of Neumann KU 100 measured as part of the Club Fritz project used with ffmpeg`s sofalizer;dx.doi.org/10.1109/JSTSP.2015.2400417;Brian Katz, France;
Viking_Z;Viking,KEMAR;Headphones;"KEMAR mannequin with 20 different pairs of artificial silicone pinnae attached, plus a ""pinna-less"" condition, measured for 1513 different directions. 3D scans of left pinnae are also included (.stl).";https://doi.org/10.5281/zenodo.4160401;Simone Spagnol, Denmark;
TU-Berlin_FABIAN_HRIR_measured_HATO_0;Tu-berlin;Headphones;;http://doi.org/10.5281/zenodo.55418;Fabian Brinkmann, Germany;
TU-Berlin_FABIAN_HRIR_modeled_HATO_0;Tu-berlin;Headphones;;http://doi.org/10.5281/zenodo.55418;Fabian Brinkmann, Germany;
